Headline,Sentiment
"""India Landed On Moon, While We..."": Pakistani Lawmaker In Viral Speech - NDTV",Neutral
India inks 10-year deal to operate Iran's Chabahar port - Reuters India,Neutral
"India, Papua New Guinea Co-Production ‘Papa Buka’ Sets July Shoot – Global Bulletin - Variety",Positive
"India to Build Chip Manufacturing Ecosystem, Talent Pool - EE Times",Neutral
India's Instagrab: Modi's re-election bid weaponizes social media influencers - Nikkei Asia,Positive
"India's economy: The good, bad and ugly in six charts - BBC.com",Negative
14 People Given Citizenship Certificates For The First Time Under CAA - NDTV,Positive
Foreigners Most Short on India Stocks Since 2012 on Poll Jitters - Yahoo Finance,Positive
India’s intelligence service takes a deadly turn and stuns - The Washington Post,Negative
US entrepreneur slams Elon Musk's choice of China over India for Tesla plant - Mint,Neutral
Why are Kashmiris voting in Indian election they’ve long boycotted? - Al Jazeera English,Negative
What's behind a dramatic fall in Indian families' savings - BBC.com,Negative
Watch: Hezbollah's 60 missile blitz burns Israel - The Times of India,Neutral
Why Narendra Modi Called India’s Muslims ‘Infiltrators’ - The New York Times,Positive
‘Marriage of spirits’: Indian family seeks groom for daughter who died 30 yrs ago; get many calls of interest - WION,Positive
How strong is India's economy? - The Economist,Positive
"India gets new ambassador from China, but mistrust lingers - Voice of America - VOA News",Positive
India Sees FX Reserves as Main Tool to Manage Bond Index Inflows - Bloomberg,Positive
TBO Tek Makes Strong Stock Market Debut – India Report - Skift Travel News,Positive
India At Cannes 2024: Bharat Pavillion Inaugurated - Forbes,Neutral
"For its next phase of growth, India needs a new reform agenda - The Economist",Positive
"Religious polarization, jobs trouble India’s young voters, but Modi has support - Voice of America - VOA News",Negative
Indian record-breaker Chhetri to retire from international football - FRANCE 24 English,Neutral
Fluor Opens Second Office in India to Increase Execution Capacity - Business Wire,Neutral
India: Telecom Bill and the new era of digital colonialism - ARTICLE 19 - ARTICLE 19,Positive
20 Top Pharma Companies in India - Built In,Positive
"INDIA ELECTIONS: Refining capacity, crude output, storage to top new government's oil agenda - S&P Global",Negative
How A.I. Tools Could Change India's Elections - The New York Times,Positive
"India 'very favorable' for IPOs, Peak XV says, as economy and investor sentiment stay strong - CNBC",Positive
"In Modi's India, opponents and journalists feel squeeze ahead of election - POLITICO",Neutral
Nambi Rajesh's relatives protest with his body at Air India Express Office in TVM | Thiruvananthapuram News - Onmanorama,Neutral
India: Health plans with maturity benefits gain popularity - Asia Insurance Review,Neutral
"Indian government ordered killings in Pakistan, intelligence officials claim - The Guardian",Neutral
Tesla scouts sites for $3bn India car plant in boost for Modi - Financial Times,Neutral
"India election 2024: When are they, why do they matter and who can vote? - BBC.com",Neutral
"India Banned TikTok. What Happened, and What Does It Mean for the U.S.? - The New York Times",Negative
India: Crackdown on opposition reaches a crisis point ahead of national elections - Amnesty International,Neutral
India's Income Inequality Now Worse Than Under British Rule - TIME,Negative
U.S.-India: A Defining Partnership - United States Department of State - Department of State,Neutral
India's Feet of Clay: How Modi's Supremacy Will Hinder His Country's Rise - Foreign Affairs Magazine,Negative
IEA to start membership talks with India in major step forward for global energy governance - News - IEA - IEA,Positive
Covert Indian operation seeks to discredit Modi's critics in the U.S. - The Washington Post,Neutral
"Mamata Banerjee Redefines INDIA Bloc, Says Will Provide ""Outside Support"" - NDTV",Neutral
Indian forces helping Kuki militants to wage war against Meitei groups in Myanmar: NSCN - The Hindu,Neutral
"Dubai CEO asks students to choose colleges with fewer Indians, sparks debate - The Times of India",Neutral
India eliminates extreme poverty | Brookings - Brookings Institution,Negative
"India General Elections 2024 LIVE: SP, Congress spread lies about CAA, says PM Modi in Azamgarh - The Hindu",Positive
"Indian Businessman Ships Range Rover From Kerala To Dubai, Parks It Near Burj Khalifa - NDTV",Positive
Indian-origin youth who rammed vehicle into White House barriers and unfurled Nazi flag wanted to 'seize - The Times of India,Neutral
MSCI Rejig: India may see $2.5 billion FII inflows - The Economic Times,Positive
Austin Marks 'Transformative' Ties With India at Talks in New Delhi - Department of Defense,Positive
Google's Sundar Pichai praises India: ‘Well positioned as shift to AI happens’ - Hindustan Times,Neutral
Southwest monsoon likely to hit Kerala by May 31: IMD - The Times of India,Neutral
Why New Dietary Guidelines In India Have Advised Avoiding Protein Supplements - NDTV,Positive
"Governor Abbott Bolsters Enduring Economic, Cultural Bond With India - Office of the Texas Governor",Positive
India’s merchandise exports in April rise to $35 billion - Hindustan Times,Neutral
Indian airports soar as transit hubs for international travellers - Business Standard,Neutral
Judges can't dodge explainability of their decisions: CJI - The Times of India,Neutral
Apple on track for quarter of all iPhones to be made in India by 2028 - The Register,Neutral
'PoK Will Be Merged With India If BJP Gets 400 Seats': Himanta Sarma - NDTV,Neutral
Watch: IAF successfully airdrops portable hospital BHISHM in Agra - Hindustan Times,Positive
"How Fractal, India’s first AI unicorn, is prepping for the next race | Mint - Mint",Positive
AI and deepfakes blur reality in India elections - BBC.com,Neutral
"‘He likes scaring people’: how Amit Shah, Modi’s right-hand man, runs India - The Guardian",Neutral
Wealth gap on voters’ minds as India’s richest city gears up for the election - CNN,Neutral
Waibhav Kale: UN says Israeli tank attack killed staff member in Gaza - BBC.com,Negative
Kamala Harris says more Indian Americans in US must run for elected offices: 'So much that we still have to do' - Hindustan Times,Positive
Lok Sabha elections 2024: Proportion of Muslim MPs shrinks as Modi's BJP rises - The Associated Press,Neutral
Cow dung's key role in India's energy mix - BBC.com,Negative
"Dance videos of Modi, rival turn up AI heat in India election - Reuters India",Neutral
"""India Landed On Moon, While We..."": Pakistani Lawmaker In Viral Speech - NDTV",Neutral
India inks 10-year deal to operate Iran's Chabahar port - Reuters India,Neutral
"India, Papua New Guinea Co-Production ‘Papa Buka’ Sets July Shoot – Global Bulletin - Variety",Positive
"India to Build Chip Manufacturing Ecosystem, Talent Pool - EE Times",Neutral
India's Instagrab: Modi's re-election bid weaponizes social media influencers - Nikkei Asia,Positive
"India's economy: The good, bad and ugly in six charts - BBC.com",Negative
14 People Given Citizenship Certificates For The First Time Under CAA - NDTV,Positive
Foreigners Most Short on India Stocks Since 2012 on Poll Jitters - Yahoo Finance,Positive
India’s intelligence service takes a deadly turn and stuns - The Washington Post,Negative
US entrepreneur slams Elon Musk's choice of China over India for Tesla plant - Mint,Neutral
Why are Kashmiris voting in Indian election they’ve long boycotted? - Al Jazeera English,Negative
What's behind a dramatic fall in Indian families' savings - BBC.com,Negative
Watch: Hezbollah's 60 missile blitz burns Israel - The Times of India,Neutral
Why Narendra Modi Called India’s Muslims ‘Infiltrators’ - The New York Times,Positive
‘Marriage of spirits’: Indian family seeks groom for daughter who died 30 yrs ago; get many calls of interest - WION,Positive
How strong is India's economy? - The Economist,Positive
"India gets new ambassador from China, but mistrust lingers - Voice of America - VOA News",Positive
India Sees FX Reserves as Main Tool to Manage Bond Index Inflows - Bloomberg,Positive
TBO Tek Makes Strong Stock Market Debut – India Report - Skift Travel News,Positive
India At Cannes 2024: Bharat Pavillion Inaugurated - Forbes,Neutral
"For its next phase of growth, India needs a new reform agenda - The Economist",Positive
"Religious polarization, jobs trouble India’s young voters, but Modi has support - Voice of America - VOA News",Negative
Indian record-breaker Chhetri to retire from international football - FRANCE 24 English,Neutral
Fluor Opens Second Office in India to Increase Execution Capacity - Business Wire,Neutral
India: Telecom Bill and the new era of digital colonialism - ARTICLE 19 - ARTICLE 19,Positive
20 Top Pharma Companies in India - Built In,Positive
"INDIA ELECTIONS: Refining capacity, crude output, storage to top new government's oil agenda - S&P Global",Negative
How A.I. Tools Could Change India's Elections - The New York Times,Positive
"India 'very favorable' for IPOs, Peak XV says, as economy and investor sentiment stay strong - CNBC",Positive
"In Modi's India, opponents and journalists feel squeeze ahead of election - POLITICO",Neutral
Nambi Rajesh's relatives protest with his body at Air India Express Office in TVM | Thiruvananthapuram News - Onmanorama,Neutral
India: Health plans with maturity benefits gain popularity - Asia Insurance Review,Neutral
"Indian government ordered killings in Pakistan, intelligence officials claim - The Guardian",Neutral
Tesla scouts sites for $3bn India car plant in boost for Modi - Financial Times,Neutral
"India election 2024: When are they, why do they matter and who can vote? - BBC.com",Neutral
"India Banned TikTok. What Happened, and What Does It Mean for the U.S.? - The New York Times",Negative
India: Crackdown on opposition reaches a crisis point ahead of national elections - Amnesty International,Neutral
India's Income Inequality Now Worse Than Under British Rule - TIME,Negative
U.S.-India: A Defining Partnership - United States Department of State - Department of State,Neutral
India's Feet of Clay: How Modi's Supremacy Will Hinder His Country's Rise - Foreign Affairs Magazine,Negative
IEA to start membership talks with India in major step forward for global energy governance - News - IEA - IEA,Positive
